,Date,County,Place of Fatality,Deaths by County of Residence,New Positives,Patients Currently Hospitalized,Patients Newly Admitted
0,3/27/2020,Albany,0,0,8.0,18.0,1.0
1,3/27/2020,Allegany,0,0,0.0,0.0,0.0
2,3/27/2020,Bronx,0,0,846.0,826.0,26.0
3,3/27/2020,Broome,4,0,5.0,5.0,0.0
4,3/27/2020,Cattaraugus,0,0,1.0,0.0,0.0
5,3/27/2020,Cayuga,0,0,0.0,0.0,0.0
6,3/27/2020,Chautauqua,0,0,4.0,0.0,0.0
7,3/27/2020,Chemung,0,0,1.0,1.0,0.0
8,3/27/2020,Chenango,0,0,4.0,1.0,0.0
9,3/27/2020,Clinton,0,0,1.0,4.0,0.0
10,3/27/2020,Columbia,0,0,2.0,2.0,1.0
11,3/27/2020,Cortland,0,0,1.0,0.0,0.0
12,3/27/2020,Delaware,0,0,0.0,0.0,0.0
13,3/27/2020,Dutchess,2,0,37.0,41.0,1.0
14,3/27/2020,Erie,6,0,99.0,52.0,8.0
15,3/27/2020,Essex,0,0,0.0,0.0,0.0
16,3/27/2020,Franklin,0,0,2.0,0.0,0.0
17,3/27/2020,Fulton,0,0,0.0,0.0,0.0
18,3/27/2020,Genesee,0,0,1.0,4.0,2.0
19,3/27/2020,Greene,0,0,1.0,~,~
20,3/27/2020,Hamilton,0,0,0.0,~,~
21,3/27/2020,Herkimer,0,0,0.0,0.0,0.0
22,3/27/2020,Jefferson,0,0,3.0,0.0,0.0
23,3/27/2020,Kings,0,0,1238.0,1153.0,191.0
24,3/27/2020,Lewis,0,0,0.0,0.0,0.0
25,3/27/2020,Livingston,0,0,2.0,0.0,0.0
26,3/27/2020,Madison,1,0,2.0,1.0,0.0
27,3/27/2020,Monroe,4,0,32.0,34.0,3.0
28,3/27/2020,Montgomery,0,0,0.0,3.0,0.0
29,3/27/2020,Nassau,75,0,880.0,901.0,113.0
30,3/27/2020,New York,0,0,631.0,1738.0,378.0
31,3/27/2020,Niagara,0,0,10.0,2.0,1.0
32,3/27/2020,Oneida,0,0,10.0,4.0,3.0
33,3/27/2020,Onondaga,1,0,14.0,20.0,2.0
34,3/27/2020,Ontario,0,0,2.0,4.0,0.0
35,3/27/2020,Orange,5,0,190.0,67.0,2.0
36,3/27/2020,Orleans,0,0,0.0,1.0,1.0
37,3/27/2020,Oswego,0,0,3.0,0.0,0.0
38,3/27/2020,Otsego,2,0,2.0,5.0,0.0
39,3/27/2020,Putnam,0,0,20.0,12.0,0.0
40,3/27/2020,Queens,0,0,1238.0,1339.0,125.0
41,3/27/2020,Rensselaer,0,0,3.0,1.0,0.0
42,3/27/2020,Richmond,0,0,415.0,200.0,10.0
43,3/27/2020,Rockland,6,0,439.0,63.0,24.0
44,3/27/2020,Saratoga,0,0,14.0,6.0,0.0
45,3/27/2020,Schenectady,1,0,6.0,11.0,0.0
46,3/27/2020,Schoharie,0,0,2.0,0.0,0.0
47,3/27/2020,Schuyler,0,0,1.0,0.0,0.0
48,3/27/2020,Seneca,0,0,0.0,~,~
50,3/27/2020,Steuben,0,0,1.0,0.0,0.0
51,3/27/2020,Suffolk,40,0,753.0,409.0,57.0
52,3/27/2020,Sullivan,0,0,8.0,4.0,0.0
53,3/27/2020,Tioga,0,0,2.0,~,~
54,3/27/2020,Tompkins,0,0,19.0,2.0,0.0
55,3/27/2020,Ulster,0,0,29.0,7.0,3.0
56,3/27/2020,Warren,0,0,5.0,2.0,0.0
57,3/27/2020,Washington,0,0,0.0,~,~
58,3/27/2020,Wayne,0,0,1.0,2.0,2.0
59,3/27/2020,Westchester,36,0,688.0,383.0,32.0
60,3/27/2020,Wyoming,0,0,0.0,0.0,0.0
61,3/27/2020,Yates,0,0,0.0,0.0,0.0
62,3/28/2020,Albany,0,0,10.0,31.0,9.0
63,3/28/2020,Allegany,0,0,4.0,0.0,0.0
64,3/28/2020,Bronx,0,0,901.0,957.0,50.0
65,3/28/2020,Broome,4,0,6.0,7.0,0.0
66,3/28/2020,Cattaraugus,0,0,3.0,1.0,0.0
67,3/28/2020,Cayuga,0,0,0.0,0.0,0.0
68,3/28/2020,Chautauqua,0,0,0.0,0.0,0.0
69,3/28/2020,Chemung,0,0,3.0,2.0,1.0
70,3/28/2020,Chenango,0,0,7.0,1.0,0.0
71,3/28/2020,Clinton,0,0,1.0,4.0,0.0
72,3/28/2020,Columbia,0,0,1.0,3.0,0.0
73,3/28/2020,Cortland,0,0,1.0,0.0,0.0
74,3/28/2020,Delaware,0,0,0.0,0.0,0.0
75,3/28/2020,Dutchess,2,0,58.0,42.0,1.0
76,3/28/2020,Erie,6,0,40.0,89.0,13.0
77,3/28/2020,Essex,0,0,0.0,0.0,0.0
78,3/28/2020,Franklin,0,0,2.0,0.0,0.0
79,3/28/2020,Fulton,0,0,0.0,0.0,0.0
80,3/28/2020,Genesee,0,0,2.0,2.0,0.0
81,3/28/2020,Greene,0,0,0.0,~,~
82,3/28/2020,Hamilton,0,0,0.0,~,~
83,3/28/2020,Herkimer,1,0,1.0,0.0,0.0
84,3/28/2020,Jefferson,0,0,1.0,0.0,0.0
85,3/28/2020,Kings,0,0,973.0,1270.0,139.0
86,3/28/2020,Lewis,0,0,2.0,0.0,0.0
87,3/28/2020,Livingston,0,0,5.0,0.0,0.0
88,3/28/2020,Madison,1,0,5.0,0.0,0.0
89,3/28/2020,Monroe,6,0,27.0,42.0,8.0
90,3/28/2020,Montgomery,0,0,1.0,3.0,0.0
91,3/28/2020,Nassau,100,0,908.0,1055.0,116.0
92,3/28/2020,New York,0,0,590.0,2025.0,362.0
93,3/28/2020,Niagara,0,0,5.0,2.0,0.0
