County,FirstDose,SeriesComplete,Reportasof
Albany,73,0,12/14/2020
Allegany,0,0,12/14/2020
Bronx,2,0,12/14/2020
Broome,0,0,12/14/2020
Cattaraugus,0,0,12/14/2020
Cayuga,0,0,12/14/2020
Chautauqua,0,0,12/14/2020
Chemung,0,0,12/14/2020
Chenango,0,0,12/14/2020
Clinton,0,0,12/14/2020
Columbia,1,0,12/14/2020
Cortland,0,0,12/14/2020
Delaware,0,0,12/14/2020
Dutchess,0,0,12/14/2020
Erie,0,0,12/14/2020
Essex,0,0,12/14/2020
Franklin,0,0,12/14/2020
Fulton,1,0,12/14/2020
Genesee,0,0,12/14/2020
Greene,1,0,12/14/2020
Hamilton,0,0,12/14/2020
Herkimer,0,0,12/14/2020
Jefferson,0,0,12/14/2020
Kings,14,0,12/14/2020
Lewis,0,0,12/14/2020
Livingston,0,0,12/14/2020
Madison,0,0,12/14/2020
Monroe,0,0,12/14/2020
Montgomery,1,0,12/14/2020
Nassau,1,0,12/14/2020
New York,23,0,12/14/2020
Niagara,0,0,12/14/2020
Oneida,0,0,12/14/2020
Onondaga,2,0,12/14/2020
Ontario,0,0,12/14/2020
Orange,1,0,12/14/2020
Orleans,0,0,12/14/2020
Oswego,0,0,12/14/2020
Otsego,0,0,12/14/2020
Putnam,2,0,12/14/2020
Queens,3,0,12/14/2020
Rensselaer,11,0,12/14/2020
Richmond,4,0,12/14/2020
Rockland,0,0,12/14/2020
Saratoga,19,0,12/14/2020
Schenectady,29,0,12/14/2020
Schoharie,0,0,12/14/2020
Schuyler,0,0,12/14/2020
Seneca,0,0,12/14/2020
St. Lawrence,0,0,12/14/2020
Steuben,0,0,12/14/2020
Suffolk,1,0,12/14/2020
Sullivan,0,0,12/14/2020
Tioga,0,0,12/14/2020
Tompkins,0,0,12/14/2020
Ulster,1,0,12/14/2020
Warren,0,0,12/14/2020
Washington,1,0,12/14/2020
Wayne,0,0,12/14/2020
Westchester,8,0,12/14/2020
Wyoming,0,0,12/14/2020
Yates,0,0,12/14/2020
Albany,181,0,12/15/2020
Allegany,0,0,12/15/2020
Bronx,49,1,12/15/2020
Broome,1,0,12/15/2020
Cattaraugus,0,0,12/15/2020
Cayuga,0,0,12/15/2020
Chautauqua,0,0,12/15/2020
Chemung,1,0,12/15/2020
Chenango,0,0,12/15/2020
Clinton,1,0,12/15/2020
Columbia,8,0,12/15/2020
Cortland,0,0,12/15/2020
Delaware,0,0,12/15/2020
Dutchess,7,0,12/15/2020
Erie,8,0,12/15/2020
Essex,1,0,12/15/2020
Franklin,0,0,12/15/2020
Fulton,3,0,12/15/2020
Genesee,0,0,12/15/2020
Greene,5,0,12/15/2020
Hamilton,0,0,12/15/2020
Herkimer,0,0,12/15/2020
Jefferson,0,0,12/15/2020
Kings,212,0,12/15/2020
Lewis,0,0,12/15/2020
Livingston,0,0,12/15/2020
Madison,0,0,12/15/2020
Monroe,10,0,12/15/2020
Montgomery,2,0,12/15/2020
Nassau,98,0,12/15/2020
New York,465,1,12/15/2020
Niagara,1,0,12/15/2020
Oneida,0,0,12/15/2020
Onondaga,13,0,12/15/2020
Ontario,0,0,12/15/2020
Orange,9,0,12/15/2020
Orleans,0,0,12/15/2020
Oswego,0,0,12/15/2020
Otsego,0,0,12/15/2020
Putnam,3,0,12/15/2020
Queens,145,1,12/15/2020
Rensselaer,41,0,12/15/2020
Richmond,58,0,12/15/2020
Rockland,25,0,12/15/2020
Saratoga,44,0,12/15/2020
Schenectady,71,0,12/15/2020
Schoharie,1,0,12/15/2020
Schuyler,0,0,12/15/2020
Seneca,0,0,12/15/2020
St. Lawrence,0,0,12/15/2020
Steuben,0,0,12/15/2020
Suffolk,24,0,12/15/2020
Sullivan,0,0,12/15/2020
Tioga,0,0,12/15/2020
Tompkins,0,0,12/15/2020
Ulster,7,0,12/15/2020
Warren,6,0,12/15/2020
Washington,2,0,12/15/2020
Wayne,0,0,12/15/2020
Westchester,81,0,12/15/2020
Wyoming,0,0,12/15/2020
Yates,0,0,12/15/2020
Albany,369,1,12/16/2020
Allegany,6,0,12/16/2020
Bronx,192,2,12/16/2020
Broome,2,0,12/16/2020
Cattaraugus,22,0,12/16/2020
Cayuga,8,0,12/16/2020
Chautauqua,21,0,12/16/2020
Chemung,2,0,12/16/2020
Chenango,0,0,12/16/2020
Clinton,10,0,12/16/2020
Columbia,16,0,12/16/2020
Cortland,1,0,12/16/2020
Delaware,1,0,12/16/2020
Dutchess,171,0,12/16/2020
Erie,28,0,12/16/2020
Essex,1,0,12/16/2020
Franklin,7,0,12/16/2020
Fulton,8,0,12/16/2020
Genesee,3,0,12/16/2020
Greene,11,0,12/16/2020
Hamilton,0,0,12/16/2020
Herkimer,4,0,12/16/2020
Jefferson,1,0,12/16/2020
Kings,554,1,12/16/2020
Lewis,0,0,12/16/2020
Livingston,15,0,12/16/2020
Madison,17,0,12/16/2020
Monroe,401,1,12/16/2020
Montgomery,8,0,12/16/2020
Nassau,488,1,12/16/2020
New York,1464,2,12/16/2020
Niagara,1,0,12/16/2020
Oneida,39,0,12/16/2020
Onondaga,209,0,12/16/2020
Ontario,22,0,12/16/2020
Orange,61,0,12/16/2020
Orleans,3,0,12/16/2020
Oswego,10,0,12/16/2020
Otsego,0,0,12/16/2020
Putnam,33,1,12/16/2020
Queens,567,3,12/16/2020
Rensselaer,100,0,12/16/2020
Richmond,185,0,12/16/2020
Rockland,89,1,12/16/2020
Saratoga,126,0,12/16/2020
